EcologicalSiteId,UFOPlots,VegMarks-Taxa,ASSOCIATION,
R034BY404CO,27,,DONE,
R036XY325CO,11,DONE,DONE,
R036XY114CO,10,DONE,DONE,
R036XY113CO,9,,DONE,
R036XY284CO,8,,DONE,
R034BY109UT,7,,DONE,
R034BY106UT,6,,NONE LISTED,
R034BY117UT,4,,DONE,
R036XY287CO,4,,DONE,
R034BY104UT,3,,DONE,
R034BY410CO,3,NOT FOUND,NOT FOUND,
F048AY918CO,2,NOT WRITTEN,NOT WRITTEN,
R034BY322UT,2,,DONE,
R034BY402CO,2,NOT FOUND,NOT FOUND,
R034XY401CO,2,NOT FOUND,NOT FOUND,
R034XY404CO,2,NOT FOUND,NOT FOUND,
R048AY238CO,2,NOT FOUND,NOT FOUND,
F048AY449CO,1,NOT WRITTEN,NOT WRITTEN,
F048AY499CO,1,NOT FOUND,NOT FOUIND,
R034BY006UT,1,,NONE LISTED,
R034BY112UT,1,,DONE,
R034BY302UT,1,,DONE,
R034BY403CO,1,NOT FOUND,NOT FOUND,
R034XY403CO,1,NOT FOUND,NOT FOUND,
R034XY410CO,1,NOT FOUND,NOT FOUND,
R035XY325CO,1,NOT FOUND,NOT FOUND,
R036XY111CO,1,,DONE,
R036XY289CO,1,,DONE,
R036XY326CO,1,,DONE,
R042XB036NM,1,,DONE,
R048AY228CO,1,NOT WRITTEN,NOT WRITTEN,
R048AY229CO,1,NOT WRITTEN,NOT WRITTEN,
R048AY247CO,1,NOT WRITTEN,NOT WRITTEN,
R048AY322UT,1,NOT WRITTEN,NOT WRITTEN,
R048AY379CO,1,NOT WRITTEN,NOT WRITTEN,NOTE ONLY REED GO BENEATH THIS ROW!!!!!!!!!!!!!!!!
R035XY413CO,,,DONE,
R036XY110CO,,,DONE,
RO36XY111CO,,,NOT FOUND,
RO36XY113CO,,,NOT FOUND,
R036XY328CO,,,DONE,
R036XY405CO,,,DONE,
R036XY445CO,,,DONE,
R034BY106UT,,,NONE LISTED,
R034BY212UT,,,DONE,
R034BY248UT,,,DONE,
R034BY240UT,,,DONE,
R034BY244UT,,,DONE,
R034BY202UT,,,DONE,
R048AY238CO,,,NOT FOUND,
R036XY446CO,,,DONE,
R036XY142CO,,,DONE,
R036XY141CO,,,DONE,
R036XY346CO,,,DONE,
R035XY409CO,,,NOT FOUND,
R036XY347CO,,,DONE,
R036XY310CO,,,DONE,
R034BY101UT,,,NONE LISTED,
R034BY103UT,,,DONE,
R034BY121UT,,,DONE,
R036XY038CO,,,DONE,
R034BY227UT,,,DONE,
F048AY330UT,,,NOT FOUND,
R048AY366UT,,,NOT FOUND,
R048AY443UT,,,NOT FOUND,
R034BY115UT,,,DONE,
R034BY003UT,,,NONE LISTED,
R034BY012UT,,,NONE LISTED,
R034BY315UT,,,DONE,
R035XY263UT,,,DONE,
R036XY266CO,,,DONE,
R042BB006NM,,,REJECTED,
R042BB014NM,,,REJECTED,
R035XY015UT,,,DONE,
R035XY003UT,,,DONE,
R035XY011UT,,,DONE,
R034BY216UT,,,DONE,
R034BY233UT,,,DONE,
R034BY247UT,,,DONE,
R034BY205UT,,,DONE,
R034BY206UT,,,DONE,
R034BY251UT,,,DONE,
R034BY209UT,,,NONE LISTED,
R034BY225UT,,,DONE,
R034BY118UT,,,DONE,
R048AY241CO,,,NOT FOUND,
R036XB008NM,,,REJECTED,
F036XA005NM,,,REJECTED,
R035XY240UT,,,DONE,
R035XY260UT,,,REJECTED,
R035XY146UT,,,DONE,
R035XY262CO,,,NOT FOUND,
R035XY414CO,,,NOT FOUND,
