"","from","to","from_name","from_degree","from_color","to_name","to_degree","to_color","Module"
"1",1,2,"R036XY325CO",12,"#E16A86","R034BY404CO",8,"#CB7F2F",2
"2",1,4,"R036XY325CO",12,"#E16A86","R036XY113CO",11,"#9F9400",3
"3",3,4,"R036XY114CO",12,"#9F9400","R036XY113CO",11,"#9F9400",3
"4",1,5,"R036XY325CO",12,"#E16A86","R036XY284CO",14,"#9F9400",3
"5",3,5,"R036XY114CO",12,"#9F9400","R036XY284CO",14,"#9F9400",3
"6",2,7,"R034BY404CO",8,"#CB7F2F","R034BY117UT",5,"#50A315",4
"7",6,7,"R034BY109UT",2,"#50A315","R034BY117UT",5,"#50A315",4
"8",3,8,"R036XY114CO",12,"#9F9400","R036XY287CO",14,"#9F9400",3
"9",4,8,"R036XY113CO",11,"#9F9400","R036XY287CO",14,"#9F9400",3
"10",5,8,"R036XY284CO",14,"#9F9400","R036XY287CO",14,"#9F9400",3
"11",3,13,"R036XY114CO",12,"#9F9400","R036XY111CO",11,"#9F9400",3
"12",4,13,"R036XY113CO",11,"#9F9400","R036XY111CO",11,"#9F9400",3
"13",8,13,"R036XY287CO",14,"#9F9400","R036XY111CO",11,"#9F9400",3
"14",3,14,"R036XY114CO",12,"#9F9400","R036XY289CO",13,"#9F9400",3
"15",5,14,"R036XY284CO",14,"#9F9400","R036XY289CO",13,"#9F9400",3
"16",8,14,"R036XY287CO",14,"#9F9400","R036XY289CO",13,"#9F9400",3
"17",1,15,"R036XY325CO",12,"#E16A86","R036XY326CO",3,"#E16A86",1
"18",1,17,"R036XY325CO",12,"#E16A86","R035XY413CO",7,"#E16A86",1
"19",5,17,"R036XY284CO",14,"#9F9400","R035XY413CO",7,"#E16A86",1
"20",1,18,"R036XY325CO",12,"#E16A86","R036XY110CO",11,"#9F9400",3
"21",3,18,"R036XY114CO",12,"#9F9400","R036XY110CO",11,"#9F9400",3
"22",4,18,"R036XY113CO",11,"#9F9400","R036XY110CO",11,"#9F9400",3
"23",8,18,"R036XY287CO",14,"#9F9400","R036XY110CO",11,"#9F9400",3
"24",13,18,"R036XY111CO",11,"#9F9400","R036XY110CO",11,"#9F9400",3
"25",1,19,"R036XY325CO",12,"#E16A86","R036XY328CO",5,"#E16A86",1
"26",15,19,"R036XY326CO",3,"#E16A86","R036XY328CO",5,"#E16A86",1
"27",17,19,"R035XY413CO",7,"#E16A86","R036XY328CO",5,"#E16A86",1
"28",18,19,"R036XY110CO",11,"#9F9400","R036XY328CO",5,"#E16A86",1
"29",1,20,"R036XY325CO",12,"#E16A86","R036XY405CO",12,"#E16A86",1
"30",5,20,"R036XY284CO",14,"#9F9400","R036XY405CO",12,"#E16A86",1
"31",13,20,"R036XY111CO",11,"#9F9400","R036XY405CO",12,"#E16A86",1
"32",14,20,"R036XY289CO",13,"#9F9400","R036XY405CO",12,"#E16A86",1
"33",17,20,"R035XY413CO",7,"#E16A86","R036XY405CO",12,"#E16A86",1
"34",19,20,"R036XY328CO",5,"#E16A86","R036XY405CO",12,"#E16A86",1
"35",1,21,"R036XY325CO",12,"#E16A86","R036XY445CO",15,"#9F9400",3
"36",3,21,"R036XY114CO",12,"#9F9400","R036XY445CO",15,"#9F9400",3
