LINK,FROM,TYPE,TO
FOCAL,R036XY325CO,ASSOCIATED,R034BY404CO
FOCAL,R036XY325CO,ASSOCIATED,R035XY413CO
FOCAL,R036XY325CO,ASSOCIATED,R036XY110CO
FOCAL,R036XY325CO,ASSOCIATED,RO36XY111CO
FOCAL,R036XY325CO,ASSOCIATED,RO36XY113CO
FOCAL,R036XY325CO,ASSOCIATED,R036XY326CO
FOCAL,R036XY325CO,ASSOCIATED,R036XY328CO
FOCAL,R036XY325CO,ASSOCIATED,R036XY405CO
FOCAL,R036XY325CO,ASSOCIATED,R036XY445CO
FOCAL,R036XY325CO,SIMILAR,R036XY326CO
FOCAL,R036XY325CO,SIMILAR,RO36XY328CO
FOCAL,R036XY325CO,SIMILAR,R036XY284CO
FOCAL,R034BY404CO,ASSOCIATED,R034BY106UT
FOCAL,R034BY404CO,ASSOCIATED,R034BY117UT
FOCAL,R034BY404CO,ASSOCIATED,R034BY212UT
FOCAL,R034BY404CO,SIMILAR,R034BY248UT
FOCAL,R034BY404CO,SIMILAR,R034BY240UT
FOCAL,R034BY404CO,SIMILAR,R034BY244UT
FOCAL,R034BY404CO,SIMILAR,R034BY202UT
FOCAL,R036XY114CO,ASSOCIATED,R036XY284CO
FOCAL,R036XY114CO,ASSOCIATED,R036XY287CO
FOCAL,R036XY114CO,ASSOCIATED,R036XY289CO
FOCAL,R036XY114CO,ASSOCIATED,R048AY238CO
FOCAL,R036XY114CO,SIMILAR,R036XY287CO
FOCAL,R036XY114CO,SIMILAR,R036XY287CO
FOCAL,R036XY114CO,SIMILAR,R036XY111CO
FOCAL,R036XY114CO,SIMILAR,R036XY445CO
FOCAL,R036XY114CO,SIMILAR,R036XY446CO
FOCAL,R036XY114CO,SIMILAR,R036XY142CO
FOCAL,R036XY114CO,SIMILAR,R036XY141CO
FOCAL,R036XY114CO,SIMILAR,R036XY346CO
FOCAL,R036XY114CO,SIMILAR,R036XY110CO
FOCAL,R036XY113CO,ASSOCIATED,R035XY409CO
FOCAL,R036XY113CO,ASSOCIATED,R036XY325CO
FOCAL,R036XY113CO,SIMILAR,R036XY110CO
FOCAL,R036XY113CO,SIMILAR,R036XY445CO
FOCAL,R036XY113CO,SIMILAR,R036XY346CO
FOCAL,R036XY113CO,SIMILAR,R036XY141CO
FOCAL,R036XY113CO,SIMILAR,R036XY142CO
FOCAL,R036XY113CO,SIMILAR,R036XY446CO
FOCAL,R036XY113CO,SIMILAR,R036XY111CO
FOCAL,R036XY113CO,SIMILAR,R036XY114CO
FOCAL,R036XY113CO,SIMILAR,R036XY287CO
FOCAL,R036XY284CO,ASSOCIATED,R035XY413CO
FOCAL,R036XY284CO,ASSOCIATED,R036XY141CO
FOCAL,R036XY284CO,ASSOCIATED,R036XY142CO
FOCAL,R036XY284CO,ASSOCIATED,R036XY405CO
FOCAL,R036XY284CO,SIMILAR,R036XY287CO
FOCAL,R036XY284CO,SIMILAR,R036XY289CO
FOCAL,R036XY284CO,SIMILAR,R036XY347CO
FOCAL,R036XY284CO,SIMILAR,R036XY310CO
FOCAL,R034BY109UT,ASSOCIATED,R034BY106UT
FOCAL,R034BY109UT,ASSOCIATED,R034BY117UT
FOCAL,R034BY117UT,ASSOCIATED,R034BY101UT
FOCAL,R034BY117UT,ASSOCIATED,R034BY103UT
FOCAL,R034BY117UT,ASSOCIATED,R034BY121UT
FOCAL,R036XY287CO,ASSOCIATED,R036XY038CO
FOCAL,R036XY287CO,ASSOCIATED,R036XY110CO
FOCAL,R036XY287CO,ASSOCIATED,R036XY114CO
FOCAL,R036XY287CO,ASSOCIATED,R036XY284CO
FOCAL,R036XY287CO,ASSOCIATED,R036XY289CO
FOCAL,R036XY287CO,SIMILAR,R036XY113CO
FOCAL,R036XY287CO,SIMILAR,R036XY114CO
FOCAL,R036XY287CO,SIMILAR,R036XY111CO
FOCAL,R036XY287CO,SIMILAR,R036XY445CO
FOCAL,R036XY287CO,SIMILAR,R036XY346CO
FOCAL,R036XY287CO,SIMILAR,R036XY142CO
FOCAL,R036XY287CO,SIMILAR,R036XY141CO
FOCAL,R036XY287CO,SIMILAR,R036XY446CO
FOCAL,R036XY287CO,SIMILAR,R036XY110CO
FOCAL,R034BY104UT,ASSOCIATED,R034BY227UT
FOCAL,R034BY104UT,ASSOCIATED,R034BY212UT
FOCAL,R034BY322UT,ASSOCIATED,F048AY330UT
FOCAL,R034BY322UT,ASSOCIATED,R048AY366UT
FOCAL,R034BY322UT,ASSOCIATED,R048AY443UT
FOCAL,R034BY322UT,SIMILAR,F048AY330UT
FOCAL,R034BY112UT,ASSOCIATED,R034BY115UT
FOCAL,R034BY112UT,ASSOCIATED,R034BY003UT
FOCAL,R034BY112UT,ASSOCIATED,R034BY012UT
FOCAL,R034BY302UT,ASSOCIATED,R034BY315UT
FOCAL,R036XY111CO,ASSOCIATED,R035XY263UT
FOCAL,R036XY111CO,ASSOCIATED,R036XY110CO
FOCAL,R036XY111CO,ASSOCIATED,R036XY141CO
FOCAL,R036XY111CO,ASSOCIATED,R036XY142CO
FOCAL,R036XY111CO,ASSOCIATED,R036XY445CO
FOCAL,R036XY111CO,SIMILAR,R036XY113CO
FOCAL,R036XY111CO,SIMILAR,R036XY287CO
FOCAL,R036XY111CO,SIMILAR,R036XY114CO
FOCAL,R036XY111CO,SIMILAR,R036XY446CO
FOCAL,R036XY111CO,SIMILAR,R036XY445CO
FOCAL,R036XY111CO,SIMILAR,R036XY141CO
FOCAL,R036XY111CO,SIMILAR,R036XY142CO
FOCAL,R036XY111CO,SIMILAR,R036XY346CO
FOCAL,R036XY111CO,SIMILAR,R036XY110CO
FOCAL,R036XY289CO,ASSOCIATED,R036XY266CO
FOCAL,R036XY289CO,ASSOCIATED,R036XY114CO
FOCAL,R036XY289CO,ASSOCIATED,R036XY038CO
FOCAL,R036XY289CO,ASSOCIATED,R036XY284CO
FOCAL,R036XY289CO,ASSOCIATED,R036XY287CO
FOCAL,R036XY289CO,ASSOCIATED,R036XY405CO
FOCAL,R036XY289CO,ASSOCIATED,R036XY445CO
FOCAL,R036XY289CO,SIMILAR,R036XY284CO
FOCAL,R036XY289CO,SIMILAR,R036XY310CO
FOCAL,R036XY289CO,SIMILAR,R036XY287CO
FOCAL,R036XY289CO,SIMILAR,R036XY347CO
FOCAL,R036XY326CO,ASSOCIATED,R036XY325CO
FOCAL,R036XY326CO,SIMILAR,R036XY325CO
FOCAL,R036XY326CO,SIMILAR,R036XY328CO
FOCAL,R042XB036NM,ASSOCIATED,R042BB006NM
FOCAL,R042XB036NM,ASSOCIATED,R042BB014NM
