EcologicalSiteId,UFOPLots
UNKNOWN,72
R034BY404CO,27
R036XY325CO,11
R036XY114CO,10
R036XY113CO,9
R036XY284CO,8
R034BY109UT,7
R034BY106UT,6
R034BY117UT,4
R036XY287CO,4
R034BY104UT,3
R034BY410CO,3
F048AY918CO,2
R034BY322UT,2
R034BY402CO,2
R034XY401CO,2
R034XY404CO,2
R048AY238CO,2
F048AY449CO,1
F048AY499CO,1
R034BY006UT,1
R034BY112UT,1
R034BY302UT,1
R034BY403CO,1
R034XY403CO,1
R034XY410CO,1
R035XY325CO,1
R036XY111CO,1
R036XY289CO,1
R036XY326CO,1
R042XB036NM,1
R048AY228CO,1
R048AY229CO,1
R048AY247CO,1
R048AY322UT,1
R048AY379CO,1
